id,source,website,building_type,building,address,vacancy_rate,household_size,Pct_Single_Family,Pct_Attached_SF,Pct_MF_2_to_4,Pct_MF_5_Plus,Pct_Emp_Office_Svc,Pct_Educ_Svc,Pct_Medical_Svc,Pct_Public_Admin,Pct_Retail_Svc,Pct_Restaurant,Pct_Accommodation,Pct_Arts_Entertainment,Pct_Other_Svc,Pct_Manufacturing,Pct_Transport_warehouse,Pct_Wholesale,Pct_Construction_Util,Pct_Agriculture,Pct_Extraction,Pct_Military,percent_of_building_type,lot_size_square_feet,floors,total_far,residential_efficiency,square_feet_per_du,retail_efficiency,retail_square_feet_per_employee,office_efficiency,office_square_feet_per_employee,industrial_efficiency,industrial_square_feet_per_employee,average_parking_space_square_feet,surface_parking_spaces,above_ground_structured_parking_spaces,below_ground_structured_parking_spaces,building_footprint_square_feet,surface_parking_square_feet,hardscape_other_square_feet,irrigated_softscape_square_feet,nonirrigated_softscape_square_feet,irrigated_percent,id
1,0,http://en.wikipedia.org/wiki/181_Fremont_Street,Skyscraper Mixed Use,Skyscraper Mixed Use (181 Fremont Street),"181 Fremont St. San Francisco, CA",0.06,1.61,0,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,26600,54,28,0.85,1900,0.85,475,0.85,250,0.85,1000,330,0,677,0,13792.59,0,9570,3237.407407,0,1,11
2,0,http://en.wikipedia.org/wiki/Encinal_Tower,Skyscraper Mixed Use,Skyscraper Mixed Use (Encinal Tower),"Oakland, CA",0.06,1.92,0,0,0,0.45,0.5,0,0,0,0.03,0,0,0,0.02,0,0,0,0,0,0,0,0.3,40000,56,37,0.85,2735,0.85,475,0.85,350,0.85,1000,330,0,1007,0,26428.57,0,8120.83,5450.598571,0,1,12
3,0,http://www.johnhancockcenterchicago.com/Index3.htm,Skyscraper Mixed Use,Skyscraper Mixed Use (John Hancock Center),"Chicago, IL",0.06,1.82,0,0,0,0.6,0.34,0,0,0,0.03,0,0,0,0.03,0,0,0,0,0,0,0,0.4,79000,100,35,0.85,1950,0.85,550,0.85,250,0.85,1000,330,0,295,0,27650,0,26136,25214,0,1,13
6,0,http://thevisionaire.com/,High-Rise Mixed Use,High-Rise Mixed (Visionaire),"New York, NY",0.06,2.07,0,0,0,0.92,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,44000,35,9.6,0.72,1164,1,475,1,300,0.85,1000,330,0,136,0,12068.57,0,15930.51,16000.91857,0,1,26
9,0,http://en.wikipedia.org/wiki/LUMINA,High-Rise Mixed Use,High-Rise Mixed (201 Folsom),"201 Folsom St. San Francisco, CA",0.06,2.07,0,0,0,0.97,0,0,0,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,0.17,43560,40,11.78,0.85,1016,0.85,475,0.85,250,0.85,1000,330,0,418,0,12828.42,0,13307.58,17424,0,1,29
10,0,http://www.atwaterplace.com/,High-Rise Mixed Use,High-Rise Mixed (Atwater Place),"Portland, OR",0.06,1.61,0,0,0,0.97,0,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0.28,80000,23,6.85,0.85,1310,0.85,475,0.85,250,0.85,1000,330,0,294,0,23826.09,0,23143.62,33030.29304,0,1,210
11,GGLO,,High-Rise Mixed Use,High-Rise Mixed (1),"601 4th Ave, Seattle WA",0.06,1.94,0,0,0,0.22,0.74,0,0,0,0.02,0,0,0,0.02,0,0,0,0,0,0,0,0.5,57000,39,15.35,0.85,1020,0.85,550,0.85,250,0.85,1000,0,0,0,0,22434.62,0,18898.34,15667.04462,0,1,211
13,0,,Mid-Rise Mixed Use,Mid-Rise Mixed (2),"937 Glisan, Portland OR",0.06,1.84,0,0,0,0.93,0,0,0,0,0.03,0,0,0.03,0.01,0,0,0,0,0,0,0,0.2,1470,16,9.06,0.85,1268,0.85,475,0.85,300,0.85,1000,330,0,248,0,832.39,0,500,137.6125,0,1,313
14,0,,Mid-Rise Mixed Use,Mid-Rise Mixed (The Edge),"Portland, OR",0.06,1.84,0,0,0,0.57,0.31,0,0,0,0.04,0.01,0,0.06,0.01,0,0,0,0,0,0,0,0.4,51700,11,7.07,0.85,1100,0.85,550,0.85,300,0.85,1000,330,0,223,0,33229,0,15562.8,2908.2,0,1,314
15,0,,Mid-Rise Mixed Use,Mid-Rise Mixed (The Gregory Lofts),"Portland, OR",0.06,1.84,0,0,0,0.84,0.1,0,0,0,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0.4,40000,12,7.38,0.85,1450,0.85,475,0.85,300,0.85,1000,330,0,223,0,24600,0,14592.6,807.4,0,1,315
17,0,,Low-Rise Mixed Use,Low-Rise Mixed (Museum Place),"Portland, OR",0.06,1.85,0,0,0,0.7,0,0,0,0,0.12,0.02,0,0.15,0.01,0,0,0,0,0,0,0,0.36,40000,8,4,0.79,786,0.83,550,0.85,300,0.85,1000,330,0,239,0,20000,0,11979,8021,0,1,417
18,PK,,Low-Rise Mixed Use,Low-Rise Mixed (Gaia Building),"Berkeley, CA",0.06,1.61,0,0,0,0.87,0,0,0,0,0.05,0.02,0,0.03,0.03,0,0,0,0,0,0,0,0.02,13000,7,5.7,0.85,627,0.85,475,0.85,300,0.85,1000,330,0,139,0,10585.71,0,2000,414.2857143,0,1,418
19,0,,Low-Rise Mixed Use,Low-Rise Mixed (Fine Arts),"Berkeley, CA",0.06,2.25,0,0,0,0.9,0,0,0,0,0.04,0.01,0,0.04,0.01,0,0,0,0,0,0,0,0.02,22932,8,5,0.85,600,0.85,475,0.85,300,0.85,1000,330,0,108,0,14332.5,0,8000,599.5,0,1,419
20,0,,Low-Rise Mixed Use,Low-Rise Mixed (East End Gateway),"Sacramento, CA",0.06,2.25,0,0,0,0.93,0,0,0,0,0.03,0,0,0,0.03,0,0,0,0,0,0,0,0.02,24750,8,2,0.85,714,0.85,475,0.85,300,0.85,1000,330,50,,0,6187.5,16500,1000,1062.5,0,1,420
21,GGLO,,Low-Rise Mixed Use,Low-Rise Mixed (Site 17),"Seattle, WA",0.06,2.25,0,0,0,0.98,0,0,0,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,0.02,27600,7,4.61,0.85,860,0.85,475,0.85,300,0.85,1000,330,0,198,0,18176.57,0,5000,4423.428571,0,1,421
22,GGLO,,Low-Rise Mixed Use,Low-Rise Mixed (Alcyone),"Seattle, WA",0.06,2.25,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,30000,7,4.14,0.85,784,0.85,475,0.85,300,0.85,1000,330,0,196,0,17742.86,0,10000,2257.142857,0,1,422
23,HM,http://www.newcalapartments.com/,Low-Rise Mixed Use,Low-Rise Mixed (New Californian),"1885 University Ave Berkeley, CA",0.06,2.25,0,0,0,0.9,0,0,0,0,0.04,0.01,0,0.02,0.03,0,0,0,0,0,0,0,0.02,24000,5,2.5,0.85,712,0.85,550,0.85,300,0.85,1000,330,0,154,0,12000,0,4356,7644,0,1,423
24,PK,,Low-Rise Mixed Use,Low-Rise Mixed (Touriel Bldg),"Berkeley, CA",0.06,2.25,0,0,0,0.94,0,0,0,0,0.03,0,0,0.01,0.02,0,0,0,0,0,0,0,0.02,6800,5,3.44,0.85,600,0.85,475,0.85,300,0.85,1000,330,0,46,0,4678.4,0,2000,121.6,0,1,424
26,0,,Low-Rise Mixed Use,Low-Rise Mixed (Stone Way Apts),"Seattle, WA",0.06,1.57,0,0,0,0.9,0,0,0,0,0.04,0.01,0,0,0.05,0,0,0,0,0,0,0,0.2,18000,4,2.43,0.85,830,0.85,475,0.85,300,0.85,1000,330,0,155,0,10935,0,6000,1065,0,1,426
27,0,,Low-Rise Mixed Use,Low-Rise Mixed (200 Second Street),"Oakland, CA",0.06,1.85,0,0,0,0.89,0,0,0,0,0.04,0.01,0,0,0.05,0,0,0,0,0,0,0,0.05,14500,6,3.75,0.85,770,0.85,475,0.85,300,0.85,1000,330,0,178,0,9062.5,0,5000,437.5,0,1,427
28,0,,Low-Rise Mixed Use,Low-Rise Mixed (Cabrini First Hill Apts),"Seattle, WA",0.06,1.85,0,0,0,0.85,0,0,0,0,0.06,0.01,0,0.01,0.07,0,0,0,0,0,0,0,0.05,14500,6,3.51,0.85,690,0.85,475,0.85,300,0.85,1000,330,0,110,0,8482.5,0,4500,1517.5,0,1,428
29,0,,Low-Rise Mixed Use,Low-Rise Mixed (Kinsey Flats),"Cincinnati, OH",0.06,1.59,0,0,0,0.76,0,0,0,0,0.1,0.02,0,0.01,0.12,0,0,0,0,0,0,0,0.15,6500,4,3.5,0.86,1100,0.85,450,0.85,300,0.85,1000,330,0,132,0,5687.5,0,500,312.5,0,1,429
30,0,,Low-Rise Mixed Use,Low-Rise Mixed (Shattuck Lofts),"Berkeley, CA",0.06,2.25,0,0,0,0.9,0,0,0,0,0.04,0.01,0,0.02,0.03,0,0,0,0,0,0,0,0.05,6500,4,3.7,0.85,750,0.85,475,0.85,300,0.85,1000,330,0,241,0,6012.5,0,0,487.5,0,1,430
31,0,,Parking Structure/Mixed Use,Parking Structure/Mixed Use (Fahrenheit Condos/Petco Parkade),"San Diego, CA",0.06,1.84,0,0,0,0.2,0,0,0,0,0.21,0.04,0,0,0.55,0,0,0,0,0,0,0,0.4,67725,4,2.8,0.85,1200,0.85,1000,0.85,525,0.85,1000,330,0,45,0,47407.5,0,0,18285.75,2031.75,0.9,531
32,0,,Parking Structure/Mixed Use,Parking Structure/Mixed Use (2),,0.06,1.84,0,0,0,0.5,0,0,0,0,0.21,0.03,0,0.02,0.24,0,0,0,0,0,0,0,0.35,7117,5,2.6,0.85,1500,0.85,1000,0.85,350,0.85,1000,330,0,86,0,3700.84,0,0,3074.544,341.616,0.9,532
33,0,,Parking Structure/Mixed Use,Parking Structure/Mixed Use (3),,0.06,1.84,0,0,0,0.5,0,0,0,0,0.21,0.03,0,0.02,0.24,0,0,0,0,0,0,0,0.25,6956,6,3.5,0.85,1800,0.85,1000,0.95,350,0.85,1000,330,0,105,0,4057.67,0,0,2608.5,289.8333333,0.9,533
37,0,,Main Street Commercial/MU High (3-5 Floors),Main Street Commercial/MU (1),"3400 Cesar Chavez St San Francisco, CA",0.06,1.84,0,0,0,0.81,0,0,0,0,0.08,0.01,0,0.02,0.08,0,0,0,0,0,0,0,0.1,20230,4,2.83,0.85,1000,0.97,450,0.95,300,0.85,1000,330,0,131,0,14312.73,0,5000,825.5475,91.7275,0.9,637
38,0,,Main Street Commercial/MU High (3-5 Floors),Main Street Commercial/MU (Belmont Dairy),"Portland, OR",0.06,1.84,0,0,0,0.78,0,0,0,0,0.08,0.02,0,0.1,0.02,0,0,0,0,0,0,0,0.2,63000,5,2.2,0.78,710,0.93,450,0.95,300,0.85,1000,330,1,7,0,27720,330,2302.19,29383.029,3264.781,0.9,638
39,0,,Main Street Commercial/MU High (3-5 Floors),Main Street Commercial/MU (Venice Renaissance),"Venice, CA",0.06,1.61,0,0,0,0.77,0,0,0,0,0.09,0.02,0,0.06,0.06,0,0,0,0,0,0,0,0.1,63600,4,1.9,0.96,1101,0.87,425,0.95,300,0.85,1000,330,0,295,0,30210,0,9801,21230.1,2358.9,0.9,639
40,0,,Main Street Commercial/MU High (3-5 Floors),Main Street Commercial/MU (International Place),"Harrisburg, PN",0.06,2.11,0,0,0,0.69,0,0,0,0,0.13,0.02,0,0.08,0.08,0,0,0,0,0,0,0,0.4,5000,3,2.5,0.58,373,1,450,0.95,300,0.85,1000,330,0,13,0,4166.67,0,44.44,710.004,78.88933333,0.9,640
41,0,,Main Street Commercial/MU High (3-5 Floors),Main Street Commercial/MU (Heilig-Levine),"Raleigh, NC",0.06,2.11,0,0,0,0,0.52,0,0,0,0.2,0.04,0,0.12,0.12,0,0,0,0,0,0,0,0.2,4500,3,2.4,0.85,1200,0.95,445,0.95,300,0.85,1000,330,0,7,0,3600,0,802.4,68.32,29.28,0.7,641
44,0,,Main Street Commercial/MU Low (1-2 Floors),Main Street Commercial/MU Low (MU Walgreens),"480 Castro Street, San Francisco",0.06,1.61,0,0,0,0.52,0,0,0,0,0.2,0.03,0,0.2,0.05,0,0,0,0,0,0,0,0.5,9152,2,1.9,0.85,919,0.85,525,0.85,350,0.85,1000,0,0,0,0,8694.4,0,457.6,0,0,0.9,744
47,0,,Main Street Commercial/MU Low (1-2 Floors),Main Street Commercial/MU Low (MU Retail),"5488 College Avenue, Oakland",0.06,2.11,0,0,0,0.52,0,0,0,0,0.2,0.04,0,0.12,0.12,0,0,0,0,0,0,0,0.5,8559,2,1.5,0.85,713,0.85,535,0.85,350,0.85,1000,330,5,0,0,6419.25,1650,0,440.775,48.975,0.9,747
52,0,,Skyscraper Residential,Skyscraper Residential (Rincon One),"San Francisco, CA",0.06,1.51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,43560,60,28,0.85,1284,0.85,500,0.85,300,0.85,1000,330,0,545,0,20328,0,726,22506,0,1,852
53,0,,Skyscraper Residential,Skyscraper Residential (Langstaff W-12),,0.06,1.64,0,0,0,0.98,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.5,43560,48,18,0.85,858,0.85,450,0.85,300,0.85,1000,330,0,672,0,16335,0,3267,23958,0,1,853
56,0,,High-Rise Residential,"High-Rise Residential (AC Mid-Rise Res, 27+5 floors)",,0.06,1.69,0,0,0,0.94,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.25,43560,32,12,0.8,1184,0.85,475,0.85,300,0.85,1000,330,0,199,0,16335,0,3267,21562.2,2395.8,0.9,956
58,0,,High-Rise Residential,High-Rise Residential (Viridian),"Nashville, TN",0.06,1.74,0,0,0,0.98,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.1,43560,31,20,0.9,918,1,500,0.85,300,0.85,1000,330,0,804,0,28103.23,0,4847.81,9548.067774,1060.896419,0.9,958
59,0,,High-Rise Residential,High-Rise Residential (199 New Montgomery),"199 New Montgomery San Francisco, CA",0.06,1.69,0,0,0,0.97,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.2,43560,20,15,0.85,1046,0.85,450,0.85,300,0.85,1000,330,0,276,0,32670,0,6534,4356,0,1,959
60,0,,High-Rise Residential,High-Rise Residential (The Metropolitan),"San Francisco, CA",0.06,1.51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,43560,27,13,0.85,1170,0.85,475,0.85,300,0.85,1000,330,0,406,0,20973.33,0,11696.67,10889.99667,0,1,960
61,0,,High-Rise Residential,High-Rise Residential (Pine & Franklin),"San Francisco, CA",0.06,1.64,0,0,0,0.99,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.2,43560,24,12,0.85,1240,0.85,450,0.85,300,0.85,1000,330,0,389,0,21780,0,20473.2,1176.12,130.68,0.9,961
62,0,,Urban Mid-Rise Residential,Mid-Rise Residential (Langstaff E-09),,0.06,1.69,0,0,0,0.96,0.02,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.3,43560,10,4,0.85,910,0.85,450,0.85,350,0.85,1000,330,0,110,0,17424,0,2178,23958,0,1,1062
63,0,,Urban Mid-Rise Residential,Mid-Rise Residential (Eddy/Taylor Family Housing),"San Francisco, CA",0.06,2.25,0,0,0,0.92,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.03,43560,14,8,0.85,920,0.85,500,0.85,300,0.85,1000,330,0,150,0,24891.43,0,14312.57,3920.401286,435.6001429,0.9,1063
64,0,,Urban Mid-Rise Residential,Mid-Rise Residential (Cubix Yerba Buena),"San Francisco, CA",0.06,2.25,0,0,0,0.91,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0.01,43560,8,6.5,0.8,332,0.85,500,0.85,300,0.85,1000,330,5,0,0,35392.5,1650,5360.7,1156.8,0,1,1064
65,0,,Urban Mid-Rise Residential,Mid-Rise Residential (AC Res Type 2/MU),,0.06,2.25,0,0,0,0.94,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.01,43560,17,8,0.85,1184,0.85,538,0.85,350,0.85,1000,330,0,65,0,20498.82,0,14349.18,8711.996471,0,1,1065
66,0,,Urban Mid-Rise Residential,Mid-Rise Residential (CapMetro Apt/Condo Hi),,0.06,1.64,0,0,0,0.9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.65,43560,8,5,0.85,1000,0.85,450,0.85,350,0.85,1000,330,0,50,0,27225,0,15028.2,1176.12,130.68,0.9,1066
67,0,,Urban Podium Multi-Family,Low-Rise Residential (AC Low Rise Res/MU),,0.06,1.94,0,0,0,0.97,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.1,43560,5,3,0.85,1184,0.85,538,0.85,350,0.85,1000,330,0,109,0,26136,0,2178,13721.4,1524.6,0.9,1167
68,0,,Urban Podium Multi-Family,Low-Rise Residential (Alameda MF with Ret),"Alameda, CA",0.06,2.25,0,0,0,0.9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.05,43560,5,2,0.85,1400,0.85,500,0.85,350,0.85,1000,330,0,57,0,17424,0,4356,21780,0,1,1168
69,0,,Urban Podium Multi-Family,Low-Rise Residential (SACOG Intense Urban Res),"Sacramento, CA",0.06,2.25,0,0,0,0.95,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,43560,6,4,0.85,765,0.85,250,0.85,350,0.85,1000,330,0,151,0,29040,0,3630,10890,0,1,1169
70,0,,Urban Podium Multi-Family,Low-Rise Residential (SCAG Apt/Condo Hi),,0.06,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,43560,4,3,0.85,1000,0.85,750,0.85,350,0.85,1000,330,0,133,0,32670,0,2178,7840.8,871.2,0.9,1170
72,0,,Urban Podium Multi-Family,Low-Rise Residential (1),25-35 Dolores Ave San Francisco,0.06,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,43560,4,2.7,0.85,930,0.85,450,0.85,350,0.85,1000,330,0,89,0,29403,0,1089,11761.2,1306.8,0.9,1172
73,0,,Urban Podium Multi-Family,Low-Rise Residential (Ironhorse Family Apartments),"Oakland, CA",0.06,1.84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,43560,4,1.8,0.85,1010,0.85,500,0.85,350,0.85,1000,330,0,76,0,19602,0,2178,21780,0,1,1173
74,0,,Urban Podium Multi-Family,Low-Rise Residential (MODA Lofts),"Stapleton Denver, CO",0.06,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,43560,4,2,0.85,940,0.85,500,0.85,350,0.85,1000,330,0,127,0,21780,0,20473.2,1176.12,130.68,0.9,1174
75,0,,Urban Podium Multi-Family,Low-Rise Residential (Darling Florist Bldg),"Berkeley, CA",0.06,1.64,0,0,0,0.9,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,43560,5,4,0.85,750,0.85,500,0.85,350,0.85,1000,330,0,240,0,34848,0,3484.8,5227.2,0,1,1175
80,0,,Standard Podium Multi-Family,Low-Rise Residential (Avalon Apts),"San Jose, CA",0.06,1.84,0,0,0,0.92,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.55,43560,4,2,0.85,1150,0.85,500,0.85,350,0.85,1000,330,0,74,0,21780,0,4356,15681.6,1742.4,0.9,1280
82,0,,Standard Podium Multi-Family,Low-Rise Residential (Ironhorse Family Apartments - 1) ,"Oakland, CA",0.06,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,43560,4,1.7,0.85,1010,0.85,475,0.85,350,0.85,1000,330,0,79,0,18513,0,9801,13721.4,1524.6,0.9,1282
83,0,,Standard Podium Multi-Family,Low-Rise Residential (MODA Lofts-2),"Denver, CO",0.06,2.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,43560,4,2,0.85,940,0.85,500,0.85,350,0.85,1000,330,0,127,0,21780,0,20473.2,1176.12,130.68,0.9,1283
